001ANDRE LUIZ                    TURMA A             
002KELVIN SILVA                  TURMA B             
005RONAN VICO                    TURMA B             
007EDUARDO DAMASCENO             TURMA A             
009CINTHIA SARAIVA               TURMA C             
011HIROMASA NAGATA               TURMA C             
012HIROGATA NAMASA               TURMA C             
013NAGAMASA HIROTA               TURMA C             
061ROBARO MIAKOMBI               TURMA C             
075CAMILA ARAUJO                 TURMA A             
087ANA BATRIZ                    TURMA B             
088LINDOYA DE LARANJA            TURMA B             
089EDSON MICHELETTI              TURMA B             
099SCARLETT JOHANSON             TURMA A             
100ANDRE LUIZ MARQUES            TURMA A             
