002DENARI                        TURMA C             
003JOAO PEDRO                    TURMA C             
004RENATO                        TURMA C             
005EDNA ARAUJO                   TURMA AD            
006RICARDO                       TURMA D             
007MARILEIDE                     TURMA D             
008MARICLEIDE                    TURMA D             
009REJANI                        TURMA AD            
010LUCAR TORRES                  TURMA E             
011MATHEUS DANTE                 TURMA C             
021LUANA TORRES                  TURMA C             
032LEANDRO RAMATHIS              TURMA D             
045NEUSA TRINDADE                TURMA D             
076WAGNER MICHELETTI             TURMA D             
092A ULTIMA PESSOA DO ARQB       TURMA B             
